slice_path,label,label_idx,feat2d_path,feat1d_path,n_mels,frames,sr,win_ms,hop_ms,split
data/processed/slices/norm_1-100032-A-0_0ms_1000ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_0ms_1000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_0ms_1000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100032-A-0_500ms_1500ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_500ms_1500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_500ms_1500ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100032-A-0_1000ms_2000ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_1000ms_2000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_1000ms_2000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100032-A-0_1500ms_2500ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_1500ms_2500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_1500ms_2500ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100032-A-0_2000ms_3000ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_2000ms_3000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_2000ms_3000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100032-A-0_2500ms_3500ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_2500ms_3500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_2500ms_3500ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100032-A-0_3000ms_4000ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_3000ms_4000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_3000ms_4000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100032-A-0_3500ms_4500ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_3500ms_4500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_3500ms_4500ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100032-A-0_4000ms_5000ms.wav,other,6,data/features/logmel_2d/norm_1-100032-A-0_4000ms_5000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100032-A-0_4000ms_5000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100038-A-14_0ms_1000ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_0ms_1000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_0ms_1000ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100038-A-14_500ms_1500ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_500ms_1500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_500ms_1500ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100038-A-14_1000ms_2000ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_1000ms_2000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_1000ms_2000ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100038-A-14_1500ms_2500ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_1500ms_2500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_1500ms_2500ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100038-A-14_2000ms_3000ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_2000ms_3000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_2000ms_3000ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100038-A-14_2500ms_3500ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_2500ms_3500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_2500ms_3500ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100038-A-14_3000ms_4000ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_3000ms_4000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_3000ms_4000ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100038-A-14_3500ms_4500ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_3500ms_4500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_3500ms_4500ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100038-A-14_4000ms_5000ms.wav,other,6,data/features/logmel_2d/norm_1-100038-A-14_4000ms_5000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100038-A-14_4000ms_5000ms_agg.npy,64,100,16000,25.0,10.0,val
data/processed/slices/norm_1-100210-A-36_0ms_1000ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_0ms_1000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_0ms_1000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-A-36_500ms_1500ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_500ms_1500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_500ms_1500ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-A-36_1000ms_2000ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_1000ms_2000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_1000ms_2000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-A-36_1500ms_2500ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_1500ms_2500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_1500ms_2500ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-A-36_2000ms_3000ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_2000ms_3000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_2000ms_3000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-A-36_2500ms_3500ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_2500ms_3500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_2500ms_3500ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-A-36_3000ms_4000ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_3000ms_4000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_3000ms_4000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-A-36_3500ms_4500ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_3500ms_4500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_3500ms_4500ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-A-36_4000ms_5000ms.wav,other,6,data/features/logmel_2d/norm_1-100210-A-36_4000ms_5000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-A-36_4000ms_5000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-B-36_0ms_1000ms.wav,other,6,data/features/logmel_2d/norm_1-100210-B-36_0ms_1000ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-B-36_0ms_1000ms_agg.npy,64,100,16000,25.0,10.0,train
data/processed/slices/norm_1-100210-B-36_500ms_1500ms.wav,other,6,data/features/logmel_2d/norm_1-100210-B-36_500ms_1500ms_mel64_f100.npy,data/features/agg_1d/norm_1-100210-B-36_500ms_1500ms_agg.npy,64,100,16000,25.0,10.0,train
