slice_path,label,sr,start_sec,end_sec,source,split_hint,parent_id
data/processed/slices/norm_1-100032-A-0_0ms_1000ms.wav,other,16000,0.0,1.0,esc50,1,1-100032-A
data/processed/slices/norm_1-100032-A-0_500ms_1500ms.wav,other,16000,0.5,1.5,esc50,1,1-100032-A
data/processed/slices/norm_1-100032-A-0_1000ms_2000ms.wav,other,16000,1.0,2.0,esc50,1,1-100032-A
data/processed/slices/norm_1-100032-A-0_1500ms_2500ms.wav,other,16000,1.5,2.5,esc50,1,1-100032-A
data/processed/slices/norm_1-100032-A-0_2000ms_3000ms.wav,other,16000,2.0,3.0,esc50,1,1-100032-A
data/processed/slices/norm_1-100032-A-0_2500ms_3500ms.wav,other,16000,2.5,3.5,esc50,1,1-100032-A
data/processed/slices/norm_1-100032-A-0_3000ms_4000ms.wav,other,16000,3.0,4.0,esc50,1,1-100032-A
data/processed/slices/norm_1-100032-A-0_3500ms_4500ms.wav,other,16000,3.5,4.5,esc50,1,1-100032-A
data/processed/slices/norm_1-100032-A-0_4000ms_5000ms.wav,other,16000,4.0,5.0,esc50,1,1-100032-A
data/processed/slices/norm_1-100038-A-14_0ms_1000ms.wav,other,16000,0.0,1.0,esc50,1,1-100038-A
data/processed/slices/norm_1-100038-A-14_500ms_1500ms.wav,other,16000,0.5,1.5,esc50,1,1-100038-A
data/processed/slices/norm_1-100038-A-14_1000ms_2000ms.wav,other,16000,1.0,2.0,esc50,1,1-100038-A
data/processed/slices/norm_1-100038-A-14_1500ms_2500ms.wav,other,16000,1.5,2.5,esc50,1,1-100038-A
data/processed/slices/norm_1-100038-A-14_2000ms_3000ms.wav,other,16000,2.0,3.0,esc50,1,1-100038-A
data/processed/slices/norm_1-100038-A-14_2500ms_3500ms.wav,other,16000,2.5,3.5,esc50,1,1-100038-A
data/processed/slices/norm_1-100038-A-14_3000ms_4000ms.wav,other,16000,3.0,4.0,esc50,1,1-100038-A
data/processed/slices/norm_1-100038-A-14_3500ms_4500ms.wav,other,16000,3.5,4.5,esc50,1,1-100038-A
data/processed/slices/norm_1-100038-A-14_4000ms_5000ms.wav,other,16000,4.0,5.0,esc50,1,1-100038-A
data/processed/slices/norm_1-100210-A-36_0ms_1000ms.wav,other,16000,0.0,1.0,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-A-36_500ms_1500ms.wav,other,16000,0.5,1.5,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-A-36_1000ms_2000ms.wav,other,16000,1.0,2.0,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-A-36_1500ms_2500ms.wav,other,16000,1.5,2.5,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-A-36_2000ms_3000ms.wav,other,16000,2.0,3.0,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-A-36_2500ms_3500ms.wav,other,16000,2.5,3.5,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-A-36_3000ms_4000ms.wav,other,16000,3.0,4.0,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-A-36_3500ms_4500ms.wav,other,16000,3.5,4.5,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-A-36_4000ms_5000ms.wav,other,16000,4.0,5.0,esc50,1,1-100210-A
data/processed/slices/norm_1-100210-B-36_0ms_1000ms.wav,other,16000,0.0,1.0,esc50,1,1-100210-B
data/processed/slices/norm_1-100210-B-36_500ms_1500ms.wav,other,16000,0.5,1.5,esc50,1,1-100210-B
data/processed/slices/norm_1-100210-B-36_1000ms_2000ms.wav,other,16000,1.0,2.0,esc50,1,1-100210-B
data/processed/slices/norm_1-100210-B-36_1500ms_2500ms.wav,other,16000,1.5,2.5,esc50,1,1-100210-B
data/processed/slices/norm_1-100210-B-36_2000ms_3000ms.wav,other,16000,2.0,3.0,esc50,1,1-100210-B
data/processed/slices/norm_1-100210-B-36_2500ms_3500ms.wav,other,16000,2.5,3.5,esc50,1,1-100210-B
data/processed/slices/norm_1-100210-B-36_3000ms_4000ms.wav,other,16000,3.0,4.0,esc50,1,1-100210-B
data/processed/slices/norm_1-100210-B-36_3500ms_4500ms.wav,other,16000,3.5,4.5,esc50,1,1-100210-B
data/processed/slices/norm_1-100210-B-36_4000ms_5000ms.wav,other,16000,4.0,5.0,esc50,1,1-100210-B
data/processed/slices/norm_1-101296-A-19_0ms_1000ms.wav,other,16000,0.0,1.0,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-A-19_500ms_1500ms.wav,other,16000,0.5,1.5,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-A-19_1000ms_2000ms.wav,other,16000,1.0,2.0,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-A-19_1500ms_2500ms.wav,other,16000,1.5,2.5,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-A-19_2000ms_3000ms.wav,other,16000,2.0,3.0,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-A-19_2500ms_3500ms.wav,other,16000,2.5,3.5,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-A-19_3000ms_4000ms.wav,other,16000,3.0,4.0,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-A-19_3500ms_4500ms.wav,other,16000,3.5,4.5,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-A-19_4000ms_5000ms.wav,other,16000,4.0,5.0,esc50,1,1-101296-A
data/processed/slices/norm_1-101296-B-19_0ms_1000ms.wav,other,16000,0.0,1.0,esc50,1,1-101296-B
data/processed/slices/norm_1-101296-B-19_500ms_1500ms.wav,other,16000,0.5,1.5,esc50,1,1-101296-B
data/processed/slices/norm_1-101296-B-19_1000ms_2000ms.wav,other,16000,1.0,2.0,esc50,1,1-101296-B
data/processed/slices/norm_1-101296-B-19_1500ms_2500ms.wav,other,16000,1.5,2.5,esc50,1,1-101296-B
data/processed/slices/norm_1-101296-B-19_2000ms_3000ms.wav,other,16000,2.0,3.0,esc50,1,1-101296-B
data/processed/slices/norm_1-101296-B-19_2500ms_3500ms.wav,other,16000,2.5,3.5,esc50,1,1-101296-B
data/processed/slices/norm_1-101296-B-19_3000ms_4000ms.wav,other,16000,3.0,4.0,esc50,1,1-101296-B
data/processed/slices/norm_1-101296-B-19_3500ms_4500ms.wav,other,16000,3.5,4.5,esc50,1,1-101296-B
data/processed/slices/norm_1-101296-B-19_4000ms_5000ms.wav,other,16000,4.0,5.0,esc50,1,1-101296-B
data/processed/slices/norm_1-101336-A-30_0ms_1000ms.wav,other,16000,0.0,1.0,esc50,1,1-101336-A
data/processed/slices/norm_1-101336-A-30_500ms_1500ms.wav,other,16000,0.5,1.5,esc50,1,1-101336-A
data/processed/slices/norm_1-101336-A-30_1000ms_2000ms.wav,other,16000,1.0,2.0,esc50,1,1-101336-A
data/processed/slices/norm_1-101336-A-30_1500ms_2500ms.wav,other,16000,1.5,2.5,esc50,1,1-101336-A
data/processed/slices/norm_1-101336-A-30_2000ms_3000ms.wav,other,16000,2.0,3.0,esc50,1,1-101336-A
data/processed/slices/norm_1-101336-A-30_2500ms_3500ms.wav,other,16000,2.5,3.5,esc50,1,1-101336-A
data/processed/slices/norm_1-101336-A-30_3000ms_4000ms.wav,other,16000,3.0,4.0,esc50,1,1-101336-A
data/processed/slices/norm_1-101336-A-30_3500ms_4500ms.wav,other,16000,3.5,4.5,esc50,1,1-101336-A
